Project Title,City,State,ZIP,Award,Location
Southern Indiana Education Center,Huntingburg,IN,47542,u215x100139,"Huntingburg, IN 47542
(38.3, -86.96)"
Horry County School District,Conway,SC,29528,u215x100140,"Conway, SC 29528
(33.84, -79.04)"
School Board of Sarasota County,Sarasota,FL,34231,u215x100141,"Sarasota, FL 34231
(27.27, -82.52)"
Lewis County Board of Education,Vanceburg,KY,41179,u215x100142,"Vanceburg, KY 41179
(38.52, -83.39)"
Berne Union Local School District,Sugar Grove,OH,43155,u215x100144,"Sugar Grove, OH 43155
(39.63, -82.52)"
School Board of Orange County,Orlando,FL,32801,u215x100145,"Orlando, FL 32801
(28.54, -81.37)"
"Board of Education, Buffalo NY",Buffalo,NY,14202,u215x100146,"Buffalo, NY 14202
(42.89, -78.88)"
Paterson Public Schools,PATERSON,NJ,7503,u215x100147,"PATERSON, NJ 7503
(40.9, -74.15)"
Madison County School,Richmond,KY,40475,u215x100148,"Richmond, KY 40475
(37.76, -84.3)"
Southeast Service Cooperative,Rochester,MN,55904,u215x100149,"Rochester, MN 55904
(43.96, -92.4)"
Tempe Union High School District #213,Tempe,AZ,85283,u215x100150,"Tempe, AZ 85283
(33.36, -111.93)"
Tantasqua Regional School district,Fiskdale,MA,1518,U215X100151,"Fiskdale, MA 1518
(42.11, -72.12)"
New York City Department of Education - District 13 Consortium,Brooklyn,NY,11238,U215X100152,"Brooklyn, NY 11238
(40.68, -73.96)"
Clark County Educational Service Center,Springfield,OH,45506,U215X100154,"Springfield, OH 45506
(39.9, -83.85)"
Northside Independent School District,San Antonio,TX,78238,U215X100155,"San Antonio, TX 78238
(29.47, -98.62)"
Urbana School District,Urbana,IL,61801,U215X100156,"Urbana, IL 61801
(40.11, -88.21)"
Burgin Independent Schools,Burgin,KY,40310,U215X100157,"Burgin, KY 40310
(37.75, -84.77)"
Northfield Township HS District 225,Glenview,IL,60026,U215X100158,"Glenview, IL 60026
(42.08, -87.82)"
Board of Education of Washington County,Hagerstown,MD,21740,U215X100159,"Hagerstown, MD 21740
(39.63, -77.74)"
WESTERN BUCKEYE EDUCATIONAL SERVICE,Paulding,OH,45879,U215X100160,"Paulding, OH 45879
(41.13, -84.56)"
Luzerne Intermediate Unit #18,Kingston,PA,18704,U215X100161,"Kingston, PA 18704
(41.28, -75.9)"
Cape Cod Collaborative,OTIS ANGB,MA,2542,U215X100162,"OTIS ANGB, MA 2542
(41.7, -70.55)"
Region One Education Service Center,Edinburg,TX,78541,U215X100163,"Edinburg, TX 78541
(26.45, -98.24)"
Southeast Kansas Education Service Center,Girard,KS,66743,U215X100164,"Girard, KS 66743
(37.51, -94.89)"
Educational Service District # 113,Olympia,WA,98502,U215X100165,"Olympia, WA 98502
(47.08, -123.03)"
Central Intermediate Unit # 10,West Decatur,PA,16878,U215X100167,"West Decatur, PA 16878
(40.94, -78.33)"
Central Kitsap School District,Silverdale,WA,98383,U215X100168,"Silverdale, WA 98383
(47.67, -122.71)"
Deming Public Schools,Deming,NM,88030,U215X100169,"Deming, NM 88030
(32.26, -107.73)"
Denver Public Schools,Denver,CO,80203,U215X100170,"Denver, CO 80203
(39.73, -104.98)"
Roanoke City Public Schools,Roanoke,VA,24012,U215X100171,"Roanoke, VA 24012
(37.32, -79.89)"
Murray County Schools,Chatsworth,GA,30705,U215X100172,"Chatsworth, GA 30705
(34.75, -84.75)"
Metropolitan Nasvhille Public Schools,Nashville,TN,37204,U215X100174,"Nashville, TN 37204
(36.11, -86.77)"
Seminole County Public Schools,Sanford,FL,32773,U215X100175,"Sanford, FL 32773
(28.76, -81.25)"
Manalapan-Englishtown Regional School District,Englishtown,NJ,7726,u215x100178,"Englishtown, NJ 7726
(40.27, -74.36)"
Greater Johnstown School District,Johnstown,PA,15906,u215x100179,"Johnstown, PA 15906
(40.38, -78.94)"
Southern Westchester BOCES,Rye Brook,NY,10573,u215x100180,"Rye Brook, NY 10573
(41.02, -73.68)"
Poplar Bluff R-I School District,Poplar Bluff,MO,63901,u215x100181,"Poplar Bluff, MO 63901
(36.77, -90.46)"
Mobile County,Mobile,AL,36618,u215x100183,"Mobile, AL 36618
(30.74, -88.18)"
Muhlenberg County Board of Education,Powderly,KY,42367,u215x100184,"Powderly, KY 42367
(37.25, -87.16)"
San Joaquin County Office of Education,Stockton,CA,95206,u215x100186,"Stockton, CA 95206
(37.9, -121.42)"
District School Board of Pasco County,Land O' Lakes,FL,34638,u215x100187,"Land O' Lakes, FL 34638
(28.21, -82.45)"
Walthall County School District,Tylertown,MS,39667,u215x100189,"Tylertown, MS 39667
(31.13, -90.12)"
Westfield Public Schools,Westfield,NJ,7090,u215x100191,"Westfield, NJ 7090
(40.65, -74.34)"
Chester County School District,Chester,SC,29706,u215x100192,"Chester, SC 29706
(34.72, -81.23)"
Chester County Intermediate Unit #24,Downingtown,PA,19335,u215x100193,"Downingtown, PA 19335
(40.02, -75.72)"
Scranton Public Schools,Scranton,PA,18508,u215x100194,"Scranton, PA 18508
(41.45, -75.66)"
Wayne County Regional Educational Service Agency (RESA),Wayne,MI,48184,u215x100195,"Wayne, MI 48184
(42.27, -83.4)"
Yakutat School District,Yakutat,AK,99689,u215x100196,"Yakutat, AK 99689
(59.53, -139.71)"
Wilkes-Barre Area School District,Wilkes-Barre,PA,18711,u215x100198,"Wilkes-Barre, PA 18711
(41.25, -75.88)"
Chaffey Joint Union High School District,Ontario,CA,91762,u215x100199,"Ontario, CA 91762
(34.06, -117.67)"
Brownsburg Community School Corporation,Brownsburg,IN,46112,u215x100200,"Brownsburg, IN 46112
(39.87, -86.38)"
Morris School District,Morristown,NJ,7960,u215x100201,"Morristown, NJ 7960
(40.78, -74.5)"
South Central BOCES,Pueblo West,CO,81007,u215x100203,"Pueblo West, CO 81007
(38.36, -104.78)"
McMinnville School District 40,McMinnville,OR,97128,u215x100205,"McMinnville, OR 97128
(45.2, -123.25)"
Lexington Public Schools,Lexington,NE,68850,u215x100207,"Lexington, NE 68850
(40.83, -99.74)"
Merrimack School District,Merrimack,NH,3054,u215x100208,"Merrimack, NH 3054
(42.85, -71.52)"
Springdale Public Schools,Springdale,AR,72765,u215x100211,"Springdale, AR 72765
(36.19, -94.15)"
Victor Central Schools,Victor,NY,14564,u215x100212,"Victor, NY 14564
(42.98, -77.43)"
Oakland Unified School District,Oakland,CA,94606,u215x100213,"Oakland, CA 94606
(37.79, -122.24)"
Happy Valley Basic School,Peoria,AZ,85383,u215x100215,"Peoria, AZ 85383
(33.77, -112.26)"
Yinghua Academy,Minneapolis,MN,55413,u215x100217,"Minneapolis, MN 55413
(45, -93.24)"
Floyd County Board of Education,Prestonsburg,KY,41653,u215x100219,"Prestonsburg, KY 41653
(37.66, -82.77)"
SW/WC Service Cooperative,Marshall,MN,56258,u215x100220,"Marshall, MN 56258
(44.44, -95.76)"
MSD Perry Township,Indianapolis,IN,46227,u215x100222,"Indianapolis, IN 46227
(39.68, -86.13)"
Puget Sound Educational Service District,Renton,WA,98057,u215x100223,"Renton, WA 98057
(47.48, -122.2)"
Clark County School District,Las Vegas,NV,89146,u215x100224,"Las Vegas, NV 89146
(36.14, -115.23)"
HAZELWOOD SCHOOL DISTRICT,Florissant,MO,63031,u215x100225,"Florissant, MO 63031
(38.81, -90.34)"
Addison Rutland Supervisory Union,Fair Haven,VT,5743,u215x100226,"Fair Haven, VT 5743
(43.67, -73.31)"
SAU 55 Timberlane Regional School District,Plaistow,NH,3865,u215x100227,"Plaistow, NH 3865
(42.84, -71.1)"
Yonkers Public Schools,Yonkers,NY,10701,u215x100228,"Yonkers, NY 10701
(40.94, -73.88)"
Madison County Regional Office of Education,Edwardsville,IL,62025,u215x100229,"Edwardsville, IL 62025
(38.83, -89.93)"
NorthEast Washington Educational Service District 101,Spokane,WA,99223,u215x100231,"Spokane, WA 99223
(47.59, -117.35)"
Mariposa County Unified School District,Mariposa,CA,95338,u215x100232,"Mariposa, CA 95338
(37.51, -120)"
Yolo County Office of Education,Woodland,CA,95776,u215x100234,"Woodland, CA 95776
(38.69, -121.7)"
Beaumont Independent School District,Beaumont,TX,77706,u215x100235,"Beaumont, TX 77706
(30.1, -94.17)"
New Bedford Public Schools,New Bedford,MA,2740,u215x100236,"New Bedford, MA 2740
(41.64, -70.94)"
Moore Independent School District No. 2,Moore,OK,73160,u215x100238,"Moore, OK 73160
(35.34, -97.48)"
Northshore School District,Bothell,WA,98021,u215x100240,"Bothell, WA 98021
(47.79, -122.21)"
Pleasantville School District,Pleasantville,NJ,8232,u215x100242,"Pleasantville, NJ 8232
(39.39, -74.52)"
Missoula County Public Schools,Missoula,MT,59801,u215x100243,"Missoula, MT 59801
(46.86, -114.01)"
Mexico 59 School District,Mexico,MO,65265,u215x100244,"Mexico, MO 65265
(39.2, -91.88)"
Sabine Parish School Board,Many,LA,71449,u215x100245,"Many, LA 71449
(31.54, -93.52)"
Prince William County Public Schools,Manassas,VA,20108,u215x100246,"Manassas, VA 20108
(38.75, -77.48)"
Cherry Creek School District,Greenwood Village,CO,80111,u215x100247,"Greenwood Village, CO 80111
(39.61, -104.88)"
Madison School District,Rexburg,ID,83440,u215x100248,"Rexburg, ID 83440
(43.78, -111.77)"
Cooperative Educational Service Agency #1,Brookfield,WI,53045,u215x100252,"Brookfield, WI 53045
(43.06, -88.15)"
Resource Training & Solutions,Saint Cloud,MN,56301,u215x100253,"Saint Cloud, MN 56301
(45.49, -94.24)"
Pitt County School District,Greenville,NC,27834,u215x100257,"Greenville, NC 27834
(35.66, -77.38)"
Greece Central School District,North Greece,NY,14515,u215x100258,"North Greece, NY 14515
(42.67, -75.44)"
Morrison Public School District Consortium,Morrison,OK,73061,u215x100259,"Morrison, OK 73061
(36.34, -97.01)"
Cleveland County Schools,Shelby,NC,28150,u215x100260,"Shelby, NC 28150
(35.35, -81.57)"
St. Landry Parish School Board,Opelousas,LA,70570,u215x100261,"Opelousas, LA 70570
(30.53, -92.11)"
New York City of Department of Education,New York,NY,10007,u215x100262,"New York, NY 10007
(40.71, -74.01)"
Richland School District Two,Columbia,SC,29206,u215x100263,"Columbia, SC 29206
(34.05, -80.87)"
Jefferson Parish Public Schools,Harvey,LA,70058,u215x100265,"Harvey, LA 70058
(29.86, -90.07)"
South Coast Educational Collaborative,Swansea,MA,2777,u215x100266,"Swansea, MA 2777
(41.76, -71.21)"
Delaware Chenango Madison Otsego BOCES,Norwich,NY,13815,u215x100268,"Norwich, NY 13815
(42.55, -75.53)"
Woodstock Community Unit School District,Woodstock,IL,60098,u215x100269,"Woodstock, IL 60098
(42.33, -88.45)"
Ogden City School District,Ogden,UT,84401,u215x100270,"Ogden, UT 84401
(41.22, -111.98)"
Livonia Public Schools,Livonia,MI,48170,u215x100272,"Livonia, MI 48170
(42.37, -83.53)"
Region 5 Education Service Center,Beaumont,TX,77703,u215x100274,"Beaumont, TX 77703
(30.13, -94.12)"
Carroll Independent School District,Grapevine,TX,76051,u215x100275,"Grapevine, TX 76051
(32.92, -97.07)"
Stuttgart School District #22,Stuttgart,AR,72160,u215x100276,"Stuttgart, AR 72160
(34.44, -91.53)"
Harnett County Schools,Sanford,NC,27332,u215x100277,"Sanford, NC 27332
(35.38, -79.14)"
Kansas City Missouri Public Schools,Kansas City,MO,64106,u215x100278,"Kansas City, MO 64106
(39.11, -94.57)"
School District of Pickens County,Easley,SC,29640,u215x100279,"Easley, SC 29640
(34.89, -82.58)"
Monroe Township Board of Education,Monroe Township,NJ,8831,u215x100280,"Monroe Township, NJ 8831
(40.33, -74.43)"
Lexington County School District One,Lexington,SC,29072,u215x100281,"Lexington, SC 29072
(33.99, -81.27)"
